B25064_001E,NAME,state,county,fips
1001,"Delaware County, Ohio",39,041,39041
998,"Warren County, Ohio",39,165,39165
903,"Franklin County, Ohio",39,049,39049
876,"Union County, Ohio",39,159,39159
866,"Greene County, Ohio",39,057,39057
865,"Lake County, Ohio",39,085,39085
846,"Medina County, Ohio",39,103,39103
839,"Butler County, Ohio",39,017,39017
836,"Fairfield County, Ohio",39,045,39045
824,"Portage County, Ohio",39,133,39133
813,"Geauga County, Ohio",39,055,39055
800,"Clermont County, Ohio",39,025,39025
792,"Licking County, Ohio",39,089,39089
783,"Summit County, Ohio",39,153,39153
779,"Pickaway County, Ohio",39,129,39129
776,"Madison County, Ohio",39,097,39097
767,"Wood County, Ohio",39,173,39173
766,"Cuyahoga County, Ohio",39,035,39035
756,"Miami County, Ohio",39,109,39109
754,"Montgomery County, Ohio",39,113,39113
754,"Athens County, Ohio",39,009,39009
751,"Lorain County, Ohio",39,093,39093
749,"Hamilton County, Ohio",39,061,39061
725,"Tuscarawas County, Ohio",39,157,39157
721,"Hancock County, Ohio",39,063,39063
721,"Ross County, Ohio",39,141,39141
720,"Champaign County, Ohio",39,021,39021
719,"Clinton County, Ohio",39,027,39027
717,"Logan County, Ohio",39,091,39091
716,"Erie County, Ohio",39,043,39043
712,"Knox County, Ohio",39,083,39083
712,"Marion County, Ohio",39,101,39101
711,"Stark County, Ohio",39,151,39151
709,"Fayette County, Ohio",39,047,39047
707,"Ashland County, Ohio",39,005,39005
706,"Preble County, Ohio",39,135,39135
706,"Clark County, Ohio",39,023,39023
706,"Shelby County, Ohio",39,149,39149
703,"Defiance County, Ohio",39,039,39039
700,"Wayne County, Ohio",39,169,39169
699,"Lucas County, Ohio",39,095,39095
699,"Ottawa County, Ohio",39,123,39123
688,"Auglaize County, Ohio",39,011,39011
683,"Fulton County, Ohio",39,051,39051
682,"Lawrence County, Ohio",39,087,39087
682,"Carroll County, Ohio",39,019,39019
678,"Van Wert County, Ohio",39,161,39161
677,"Putnam County, Ohio",39,137,39137
673,"Jackson County, Ohio",39,079,39079
672,"Seneca County, Ohio",39,147,39147
669,"Henry County, Ohio",39,069,39069
668,"Brown County, Ohio",39,015,39015
668,"Highland County, Ohio",39,071,39071
666,"Sandusky County, Ohio",39,143,39143
665,"Pike County, Ohio",39,131,39131
665,"Williams County, Ohio",39,171,39171
665,"Muskingum County, Ohio",39,119,39119
663,"Allen County, Ohio",39,003,39003
650,"Huron County, Ohio",39,077,39077
649,"Trumbull County, Ohio",39,155,39155
649,"Mahoning County, Ohio",39,099,39099
648,"Ashtabula County, Ohio",39,007,39007
646,"Morrow County, Ohio",39,117,39117
646,"Mercer County, Ohio",39,107,39107
646,"Gallia County, Ohio",39,053,39053
645,"Darke County, Ohio",39,037,39037
643,"Columbiana County, Ohio",39,029,39029
640,"Hardin County, Ohio",39,065,39065
639,"Washington County, Ohio",39,167,39167
638,"Wyandot County, Ohio",39,175,39175
638,"Richland County, Ohio",39,139,39139
637,"Crawford County, Ohio",39,033,39033
635,"Perry County, Ohio",39,127,39127
634,"Noble County, Ohio",39,121,39121
633,"Paulding County, Ohio",39,125,39125
626,"Guernsey County, Ohio",39,059,39059
625,"Harrison County, Ohio",39,067,39067
622,"Jefferson County, Ohio",39,081,39081
607,"Belmont County, Ohio",39,013,39013
602,"Holmes County, Ohio",39,075,39075
594,"Coshocton County, Ohio",39,031,39031
585,"Vinton County, Ohio",39,163,39163
585,"Scioto County, Ohio",39,145,39145
585,"Hocking County, Ohio",39,073,39073
584,"Meigs County, Ohio",39,105,39105
571,"Adams County, Ohio",39,001,39001
570,"Monroe County, Ohio",39,111,39111
550,"Morgan County, Ohio",39,115,39115
