B25064_001E,NAME,state,county
593,"Adams County, Ohio",39,001
758,"Allen County, Ohio",39,003
748,"Ashland County, Ohio",39,005
735,"Ashtabula County, Ohio",39,007
840,"Athens County, Ohio",39,009
762,"Auglaize County, Ohio",39,011
694,"Belmont County, Ohio",39,013
742,"Brown County, Ohio",39,015
966,"Butler County, Ohio",39,017
715,"Carroll County, Ohio",39,019
779,"Champaign County, Ohio",39,021
755,"Clark County, Ohio",39,023
912,"Clermont County, Ohio",39,025
774,"Clinton County, Ohio",39,027
664,"Columbiana County, Ohio",39,029
645,"Coshocton County, Ohio",39,031
695,"Crawford County, Ohio",39,033
875,"Cuyahoga County, Ohio",39,035
682,"Darke County, Ohio",39,037
756,"Defiance County, Ohio",39,039
1202,"Delaware County, Ohio",39,041
814,"Erie County, Ohio",39,043
963,"Fairfield County, Ohio",39,045
729,"Fayette County, Ohio",39,047
1070,"Franklin County, Ohio",39,049
768,"Fulton County, Ohio",39,051
718,"Gallia County, Ohio",39,053
895,"Geauga County, Ohio",39,055
938,"Greene County, Ohio",39,057
731,"Guernsey County, Ohio",39,059
875,"Hamilton County, Ohio",39,061
792,"Hancock County, Ohio",39,063
710,"Hardin County, Ohio",39,065
608,"Harrison County, Ohio",39,067
785,"Henry County, Ohio",39,069
704,"Highland County, Ohio",39,071
701,"Hocking County, Ohio",39,073
700,"Holmes County, Ohio",39,075
750,"Huron County, Ohio",39,077
685,"Jackson County, Ohio",39,079
694,"Jefferson County, Ohio",39,081
826,"Knox County, Ohio",39,083
952,"Lake County, Ohio",39,085
759,"Lawrence County, Ohio",39,087
894,"Licking County, Ohio",39,089
740,"Logan County, Ohio",39,091
821,"Lorain County, Ohio",39,093
803,"Lucas County, Ohio",39,095
870,"Madison County, Ohio",39,097
706,"Mahoning County, Ohio",39,099
782,"Marion County, Ohio",39,101
958,"Medina County, Ohio",39,103
639,"Meigs County, Ohio",39,105
679,"Mercer County, Ohio",39,107
832,"Miami County, Ohio",39,109
584,"Monroe County, Ohio",39,111
849,"Montgomery County, Ohio",39,113
641,"Morgan County, Ohio",39,115
851,"Morrow County, Ohio",39,117
719,"Muskingum County, Ohio",39,119
652,"Noble County, Ohio",39,121
774,"Ottawa County, Ohio",39,123
704,"Paulding County, Ohio",39,125
654,"Perry County, Ohio",39,127
851,"Pickaway County, Ohio",39,129
760,"Pike County, Ohio",39,131
921,"Portage County, Ohio",39,133
754,"Preble County, Ohio",39,135
754,"Putnam County, Ohio",39,137
694,"Richland County, Ohio",39,139
784,"Ross County, Ohio",39,141
719,"Sandusky County, Ohio",39,143
669,"Scioto County, Ohio",39,145
740,"Seneca County, Ohio",39,147
787,"Shelby County, Ohio",39,149
784,"Stark County, Ohio",39,151
882,"Summit County, Ohio",39,153
707,"Trumbull County, Ohio",39,155
796,"Tuscarawas County, Ohio",39,157
1050,"Union County, Ohio",39,159
721,"Van Wert County, Ohio",39,161
646,"Vinton County, Ohio",39,163
1156,"Warren County, Ohio",39,165
725,"Washington County, Ohio",39,167
770,"Wayne County, Ohio",39,169
718,"Williams County, Ohio",39,171
845,"Wood County, Ohio",39,173
682,"Wyandot County, Ohio",39,175
